stem,split,date,site,sha256,pixel_sha256,block,annotators,group,fold,role
20110425063154Uh,train,2011-04-25 06:31:54,Uh,fcc9fa08e55b16f5bdbea9383cc1b4fb431060a9085c92c1abb6b481daaf2032,9663f49a5cd06d3371e0ae5175d66fddee09ce4a03b3e865344aeeb02bb315a3,17,1,17,0,train
20110429135554Bh,train,2011-04-29 13:55:54,Bh,4e84c1e9b5de7b2def08908ec7322d8fed83f919bb1cc11d672cea02631fe9e8,4ea415ae97177613c9c1947ec662d8b2e5dbbe21fdba58fb54083e796fa86aaf,17,3,17,0,train
20110502063154Uh,train,2011-05-02 06:31:54,Uh,842370bb689d0c75ae533c73eb3386beed573f40dfba76047dc9077a08cac8c0,d4019cf22bfa7f96ec41d5acf6ba29cf5f5cc9c7985c4fd7e04842aba5340ac2,18,3,18,1,train
20110509121334Ch,train,2011-05-09 12:13:34,Ch,0f7cc732de85ff6e7a0d107cb5ad464b1cecb90f5f08b7bf0eef9d55fa7cf766,adaf53cd18985540b264bb8d0697f34057ee1321b719f0c80081d3da8e4b881e,18,1,18,1,train
20110510063134Lh,train,2011-05-10 06:31:34,Lh,35b6e9941e030c2129ef8cb3e08156c96cb3f352532574c5fa1be89dc5254d4a,dbff03f8b27b0797b7ada59bef168ec04c59997a80e0243e995fdc99045a1740,18,2,18,1,train
20110511063154Uh,train,2011-05-11 06:31:54,Uh,901f367fef81d5aa2cc833076e2dc222bcdfc6c8f49e3e8fbd913c66ae44a346,0b3c2ade27cf5128c2bd6e2f4df39ad2052230df0bac4d1317bc30efc5170bc0,18,1,18,1,train
20110517164514Mh,train,2011-05-17 16:45:14,Mh,c6b18ec258884e1ef01f73c003d8645f4be42f3edeff030ed97ccea06897762a,8dcab4b542e5fad260ab33eafe905875709cf77c010dde515e5d685b8c842238,18,3,18,1,train
20110520063154Uh,train,2011-05-20 06:31:54,Uh,93ae095d5cdfb1ca5512aad5298d6061699e9ac2c7826b056f626a0a1b3c3da0,3f6464b3e5fc5e150a91e6c7fc274713e80b019cc34dca25004e4d44912e4429,18,1,18,1,train
20110521063134Lh,train,2011-05-21 06:31:34,Lh,7dd8176f30f47e669a2d29780f78dd3acd3bdbfaeceb92f0f99e88d693b9e1a3,6e72cfaa6ec3e8cae90be49418a0edd9d015f9c842c8121ccde436c46c16f9e2,18,1,18,1,train
20110523063154Uh,train,2011-05-23 06:31:54,Uh,2062edf3ff237720690c1a5d7fc3c16256e60b5c8388751c3aaad93f428d7440,abe10336956268a547168edb66e49f3ac5dc6b9ec38d97b6d2f97184d4e2c25e,18,1,18,1,train
20110525063154Uh,train,2011-05-25 06:31:54,Uh,fb9f95f4770f626c06972176834057815a6e302f45fe22d2bdc2dbd41021b96a,f01ac254ed505afd9838004a24cc0928db91655d421cebd27bdc83223a3dbef2,18,1,18,1,train
20110526122534Ch,train,2011-05-26 12:25:34,Ch,e3fcfaf5de11a1b6ca5c51f2726d6f0d9c462684b1248f8a536a8a7d9b4d095c,e480cad7440fb2aa7183f830351ea829b6aaa8b3ca1242bbe97666a1cb65b831,18,1,18,1,train
20110530122834Ch,train,2011-05-30 12:28:34,Ch,9e097161571e7d9de08353b7d22eff064625ed49c5253a03b2b1c40a0df1c378,d0bd5a8543efba624cf014994b6fca30cdde11f935df8e0dda04b2ad5d9bb9c4,19,1,19,0,train
20110601063134Lh,train,2011-06-01 06:31:34,Lh,933554bbe23628b0ef4d2a03532915b59c5271506fe60d7dcc6a5b7ec28c1d74,a6801177e010e1f1f6d36670f26a9aa3aeb8ac63ae6db09855de8a6c87ac2740,19,1,19,0,train
20110603163414Mh,train,2011-06-03 16:34:14,Mh,b5ccd3495de6de1fcad1482b645d0c84282334d1fe6b71dd252630ae3e06d4f8,c8ce5147e9f9c1067e3df2def192079fd8985398aa94cec14bf602e8905a5446,19,1,19,0,train
20110615133454Bh,train,2011-06-15 13:34:54,Bh,e459989ec20fb462674e1bb971c773a4082b222584e4019d1303bc6bb0805a24,74ba458b1c2a39b2d186fbfa0681a70e914dc844399c053851be35dc7d7df051,19,1,19,0,train
20110616133454Bh,train,2011-06-16 13:34:54,Bh,bb00546823c217a1a0b2db8747d56a1d7414b5e313f91539a038dbc2e7c3f5bc,839b3ebbb50deba296203d0b887ff25792ece635fccf83c38b63b062501c1c5d,19,2,19,0,train
20110617063134Lh,train,2011-06-17 06:31:34,Lh,0699c9dd2a6514be934714bd498e9e05c0d517715d7c4b661c1e1d0ceead2b41,c4f7e27103f3cdef0c54b35aa3e846229a62f6efbd7b6d77307d2522445c2a18,19,1,19,0,train
20110619063134Lh,train,2011-06-19 06:31:34,Lh,589bda103640e69819c0c15808f144fa11672d7fd9875bd295f49b007ea8c710,d4ab31c156158a3c088ddd7bfa113f2b83c96bdf07ab5003635b4e54a893072c,19,1,19,0,train
20110621063134Lh,train,2011-06-21 06:31:34,Lh,154acd80004e2461743e199e5303b37c028734eb08a50548e36d052a4193c9bb,13cb196a79ac8dd22587ee287a244e8111a481a52c7a0741c0f398a57d12c192,19,1,19,0,train
20110623063134Lh,train,2011-06-23 06:31:34,Lh,29207f52c136bfcc1bc177f047a46a100b6955e971badda2705a26260990382f,7e73a9f15e0bbab7a0b6b4476ba38a018cbaaaae84c7ce5ce87062c46aa5e32f,19,1,19,0,train
20110625163814Mh,train,2011-06-25 16:38:14,Mh,224720f1d993c7013465ec213b3044ccb7a20b2de1c903293aed0877a5ed371c,660b861da92a4ed40d749524c7b032cfcb6993bece000cade6b0b71841ee2e33,20,1,20,4,train
20110707074514Th,train,2011-07-07 07:45:14,Th,9302d89005fc2a4996fd6ded0c9970d4faa1ace3d13210cacc9e01c730927de2,fb74f0f0115447e31c61fbccdd499f9021fb98bd5002e05c800046862d108b97,20,2,20,4,train
20110711071214Th,train,2011-07-11 07:12:14,Th,b37f43e93039a9c94b38b2139f8f4df498b3c4421ec51ef99b7b081e79848cf1,c650cfdf3a9c7e637ab28c263aa2fe04f3ad3952d3c5bef5b7e6aa69c78bc488,20,2,20,4,train
20110724164614Mh,train,2011-07-24 16:46:14,Mh,1573274870a1a4496b32f3866bc33880d8f5ab9b7195f91a884c20ed6681b3f2,69aa0bab035848a870116ea80bb2182e0da61936860efb46eaaf43ebecfb4498,21,1,21,1,train
20110727063234Lh,train,2011-07-27 06:32:34,Lh,8cc32111be0e4f18539af6885b9db60c213f92a640a5bc3bc581d79cb849157a,8d4611efd32be9855b38a41f72b246792838a8aeafe5b909e497d5d12e62df9d,21,3,21,1,train
20110728084714Th,train,2011-07-28 08:47:14,Th,0dfcf889ae3d49ae09aacb1aabd159923dd6f433622f119ae4bae461220296da,71e63e3e6ef36c169c25664eb1befb4cd2b7bcb567604a8ab11e51635d0ef786,21,1,21,1,train
20110803164914Mh,train,2011-08-03 16:49:14,Mh,cedefca8599d2ca9aa62531ef15ea3feda9703eef8a3013e248bfbcd6c62885f,c8e161a7a6af21fba0dced48c0a09a2cb2c1f42654a2a9cdbb7bcc6d652b95d9,21,3,21,1,train
20110810063134Lh,train,2011-08-10 06:31:34,Lh,21d9a4668e97096be2b1c48cafcc59cd358d20914002b1f4d80a5c23aaab73ea,6222c0bcddcc3715588771ccce5f07e5a8c16c7f3c0925f1ddd58da4ff91c7cb,21,1,21,1,train
20110815140454Bh,train,2011-08-15 14:04:54,Bh,489ce94283ccec4e98f724e7d3a4fd5427d5c7f7adee36ef4cd9b4c828bf756c,5672c2441e18f654b4ea9ce512874c9b697011b17312396f96c6ae25acaca293,21,2,21,1,train
20110823120334Ch,train,2011-08-23 12:03:34,Ch,3f6f00d8e594a876d4d0e9bae16a5cfbb6798cc284bc2115594eb6030bae2ff7,1111d94421da8655190d0e7d1387793a994cafc5b4566144a498fa4163bf7317,22,3,22,3,train
20110824141054Bh,train,2011-08-24 14:10:54,Bh,70217c43c332351e089a0fff39c95b2a22a29e317d1cd24d87fd64dd94d47b13,467877f18dcaff672ca25d61fe5858d6ed6d4fbd800a66f883bd7ce610ebc58c,22,1,22,3,train
20110826074214Th,train,2011-08-26 07:42:14,Th,20f785f06ee8e09d7e0053e1236d3aa33723ca628b6c3527727e20ced5af5093,1f6170ca888632abd25cbe144bdff2e906e477ff57910078487230833f8f96ae,22,3,22,3,train
20110902073614Th,train,2011-09-02 07:36:14,Th,fc9561477a586513a28c50952f3a249dcf8c7349d9cff7bedaca5ad6a30824c7,128ac65d56d549f7f966561f688517ab6273eb65425ee701fa729d0b1cf4fce3,22,1,22,3,train
20110914063134Lh,train,2011-09-14 06:31:34,Lh,3aea7e1be3f57052c65231af7ae6512d65f37a4a95a8e3f3c687ffb18925d8b3,99ac073799b5d27d1b7881c21be9c49605fab0fb564913e1fd712ea70db625bd,23,3,23,0,train
20110918112834Ch,train,2011-09-18 11:28:34,Ch,d0049a52bc5a37ba304cae3bcd22e959cf4b4da3ffc2db1bb01215abb86e87a0,7d73d15f6de92248376130ca9bf36f28b9bf09f03618486a2178458e2bf36e49,23,2,23,0,train
20110923112234Ch,train,2011-09-23 11:22:34,Ch,a72f2e125b663544af089be6a5d30eaeb35a21da08e7990fc724145341498ba9,e61a207fc8ecfc18682c341656cca901cafed0aecb7719e9b6365e7f14e39196,23,1,23,0,train
20110923165814Mh,train,2011-09-23 16:58:14,Mh,40765929c7a3a53fd27c74b66f69d22b474b1f3dda2c5f00d043494189632cd1,a9184a46ca619f9abedbeb98d505974c3359c30179c0cd59c4caa27255bb49ab,23,3,23,0,train
20111009110234Ch,train,2011-10-09 11:02:34,Ch,3f8bd0fd0f21265db6403ef29269a16491745c07549f7e3d6b78ae9351496d83,db54f5521edd34fbae54711ae273c8834e31e6dca30b5a9f49a1510b1632769b,23,3,23,0,train
20111011112054Uh,train,2011-10-11 11:20:54,Uh,bd71dccd4124e8083d0a93efef71e8522c9a6163ff6cd37dd62a1ea6f458ef5c,76e19c5ae5eee235367d8f17b8469db7e7da2737234fea44f8fed7c130de40fc,24,1,24,2,train
20111018063134Lh,train,2011-10-18 06:31:34,Lh,440b5e892cb2e6fefe230187093c01e21ab60a6cd547b6d0111082d61cb4a07e,4f67619bcdd5ac803decba2360e4fd205e279c213fbf7d49abf1131cffc08a61,24,2,24,2,train
20111019063154Uh,train,2011-10-19 06:31:54,Uh,8ce704a74f1969a0360444281ad6ca69e39fb029776a5aa72f5afd03eb11a5b6,80ea890d091af49fc787b10d9a1ab5abf6e862ba0e799dc22b570af18eacce84,24,1,24,2,train
20111025080614Th,train,2011-10-25 08:06:14,Th,2a4fba02117ad72f4c8cc391b3c8bc6d5339b89f1d2400fb5f0531a3225455e3,6908ad12adb729c6b383f5a23634a7f512addb4cd139cc1c78c4c4d3650a1ed8,24,1,24,2,train
20111027145954Bh,train,2011-10-27 14:59:54,Bh,aec9fdf00ea7dd4eee8c9b57edeb7845c80bceffe70cf0fe1210e76e77b794a8,c5928fa0c624baf4bef098cf5df09062be81cfd4c495f7c9918a3aaf76f2d074,24,3,24,2,train
20111029063154Uh,train,2011-10-29 06:31:54,Uh,b3cd9f8cb6ded31ec656efe075192f86cf6aa4d67f97aacaf79b47a4ca223ab9,d7521e9105aa0d8a33750a7b8467e2dda3169b0c66b562725959cb53e52a853c,24,2,24,2,train
20111107063154Uh,train,2011-11-07 06:31:54,Uh,c1c38d6d02b660bf19e8690cfdceb0da252cb55cc10a7f9b0e092977da3b5b55,111e31cc3d91b8066a8f3d1ca4fa87b1071b1cee0932077bc8e3ed6301751caa,25,1,25,2,train
20111112193254Bh,train,2011-11-12 19:32:54,Bh,8698fa8c9335c89459543712ece5f53c710158af4076d9b69998028922aa90c7,01565201bc27f307207fda5b89887db24f99c846c5e17e0839b8ed8567c76ffe,25,2,25,2,train
20111114082314Th,train,2011-11-14 08:23:14,Th,fa9a39050e2ce630a470bd31b57fa0fd309ae3dff675cf49f3a34f7008936920,40144473ffbc13daa3a60e817130bcc106751d0cb156040d85dc7b71024c6080,25,3,25,2,train
20111115063134Lh,train,2011-11-15 06:31:34,Lh,95af6d1adefbccf21d28ac5f25bcc9be7d4cbdcc5f47c28df9d280b1f80d7a60,bb9c1f9e8f095d615855fe718af43c230c657ef6757800405ae9270a3dcbfab4,25,1,25,2,train
20111116063134Lh,train,2011-11-16 06:31:34,Lh,f4de29ac4120b1ad03ece1ef465a6a48599ef8a06ef91b9b8f7c8e9facf5a949,d4181f17c34310041ff1547d03c1869436efd0d7b90c2ddee92e8e5ff9e939cf,25,3,25,2,train
20111201063154Uh,train,2011-12-01 06:31:54,Uh,08d5285ce2b39d3e6486d9f1dba7795fe15a73cb651fa5a0d3a30260c48ee328,400728a934bb1199a8046e043d2995a8f0b6f8e66d48da73aa00fde199daa796,25,1,25,2,train
20111206102934Ch,train,2011-12-06 10:29:34,Ch,707e664a39dad65c0b2f1e2ffb7e668c7efb6f00679481492cde984884eee8c5,6e8965732267fa3249af658f9fc6369e7c11dcd3d4c1c6fde8d6ece13f5a9bed,26,1,26,1,train
20111208063134Lh,train,2011-12-08 06:31:34,Lh,eb14a08da50825adde4ccd7d05d9afcb81184199316ce149a6c91c8978dfef6f,c9c9e5bd30afd2de63a5f521b6c537ef7687b9e15da2d328634c161eb8a47866,26,1,26,1,train
20111214063134Lh,train,2011-12-14 06:31:34,Lh,e35a3aec6d094e1e8d2b90b63c03a4c39451b0b3338db3828b4092e2a25855da,d58010f26636bb79aa0abca98dcadb859e7e00ea8d3a76b0c18010fe5cbb559c,26,1,26,1,train
20111214132434Ch,train,2011-12-14 13:24:34,Ch,4fb5fbbb3dac95591c2f6baa5a28a177cf0a5df1b525247a504ae88d83e1ce6b,647d84dfe811c52323d83310812a13107336f059f2c8a09609c66f3f38f6b34a,26,2,26,1,train
20111215063134Lh,train,2011-12-15 06:31:34,Lh,6dcdb81f166356c13b9e2326958c0dd30b96ad42731221568de21710b2c25e0f,77a0af774ef70149073e0b626586966489d03b21b2f93ee3ff857c4fb25733e4,26,3,26,1,train
20111218085014Th,train,2011-12-18 08:50:14,Th,7f7fd7a6343cc7fd842398475a6cb135d0d18b33c0c5478f95b0b1d51e801193,d20b370168e97254315fdcc645070042057ea34445292ac13c8d9e1bdbd9aef7,26,3,26,1,train
20111222063154Uh,train,2011-12-22 06:31:54,Uh,f1492a8eb07d680b5aa247d0423e2c38f67cd6f3cd2eef2b5afd7af8260220bb,2e0284fa120d94d9432577b09196a95726f447bfdfd511a5f87c9a3fe13de86f,26,3,26,1,train
20111223085314Th,train,2011-12-23 08:53:14,Th,00ab5a86f5aeae500d2a67e41c8b8a83d38f03eaf9c80688fc07620008558171,6b69143b356bd42628b5b12eda2a04b548637bf4e1abea9223e1b3b6381d8464,26,1,26,1,train
20111226155454Bh,train,2011-12-26 15:54:54,Bh,9b8a08a13e9e974bf76bccd1a77e9222dc82688beb4337b5adc9f2802db4f5db,89d9912b9d4d31583b50437c51d2b079ca456945389917a7c5f9f83c1999050a,26,1,26,1,train
20111229063154Uh,train,2011-12-29 06:31:54,Uh,c1b07e97934c9c2d136d6f4793a0d1264a2ea5b977b1bc9ece332438acad1d72,e5121a6b5cd24ff4df0be395cfb8421ce5cfce90e42ee8506915b6cac9e2a666,26,3,26,1,train
20120103104134Ch,train,2012-01-03 10:41:34,Ch,606cce2e95c2a66be1a198064bc3af8a8a677536a97344a5bb180d9ec8ebc9cc,450e40cd83ace915c571fe1ee27e52d214c0e012e0f8ce2ac1565b4e26c4fd7e,27,1,27,2,train
20120104063134Lh,train,2012-01-04 06:31:34,Lh,fe8a2eeadd219780c6d523e039c00257d83327e90443ea21c82b92a042f45765,bdbce033142234435bb594f991e1311bb5c1d462c25eb7f15f3f2e2bfcbf0e4a,27,2,27,2,train
20120110155754Bh,train,2012-01-10 15:57:54,Bh,205400e2ca15fe5552fe634f02162f0df6bb6007c2ac1ba2303a6e3cbe2e0013,6fa6aceafea69154149352af3ea8f8439d3b8ccb08bae07836f114750ec9ddb5,27,3,27,2,train
20120113104834Ch,train,2012-01-13 10:48:34,Ch,063ed818ec4f79a0c47cb29b7a6bae71663d03b52471f2a4fbe7ac17d62b3983,d57f1f0710ac0dbc162efc3f0d89e3b73f975d47951bd9e3a45ecfb567758aab,27,2,27,2,train
20120114063154Uh,train,2012-01-14 06:31:54,Uh,11a47c4cd7e608c9cce914fe342e732aaf2e6af3c336e890a685263afd41927d,c3acbe6a52df48bd8acc306f178d439ec641626537cb67c4ad756bfb84b073db,27,1,27,2,train
20120116063254Uh,train,2012-01-16 06:32:54,Uh,ee82aaa5d401a6bb93899a3aaae09d8d0a78456f81e8fe19fd0e97f8928bc46b,4267f21222eea30ff7e45142c576ba0ff127d2a467a5a6220e7d66c4d9bf3c4f,27,1,27,2,train
20120127085214Th,train,2012-01-27 08:52:14,Th,312b76c54f774ad6ec8ff90cc44c923bebbfb18a6817c69e836e13a960127d1f,c2fec1b2caa9904c6fb48d5859143bb046b92872152120f4bd7ecdc3e7173308,28,1,28,2,train
20120131063154Uh,train,2012-01-31 06:31:54,Uh,cd9ef1c850a0ff121b80382dbab62644860a8037ff2fbf2a38157668d3f88e00,d878527c6b510764c104638cf99d243cbfa3a4232711326c934ee2e96e8b0f4d,28,3,28,2,train
20120205172414Mh,train,2012-02-05 17:24:14,Mh,482c90278bc62af63cb3dc53983272188d6bcacaa7dd51cf09beb0746d3b4a1e,1830a7ee2142700ecacfa2bc3a6d80f05ed87b9cbe118e8e9113bde1288f0ff7,28,3,28,2,train
20120206063134Lh,train,2012-02-06 06:31:34,Lh,2ef9e3e87e7278d971eb67816cc2d4ddd55fb54b29ae3cfc5d8cf4d6f7eeb7b1,5e081947d205ac2dd2d938a9219ef3553029efbcef50d5da2d05e61059fe4b03,28,2,28,2,train
20120213063134Lh,train,2012-02-13 06:31:34,Lh,98a3ce56c666741399c32e8ce003d31a437323ddcf87019037561e3175f489b6,10bd3e7d3ebf3095ae655ceb0ce8d7786fd43bb9bb9952249a1ffbec612dcde1,28,1,28,2,train
20120215153654Bh,train,2012-02-15 15:36:54,Bh,7fd38d7889e4526c6b25ec85e95bce58f95033142db5b7a3db432c9c17db494f,890fe203f01f49218be2c10acbc01c0d7045bc487694eb7a0cefe21d6fb9c75c,28,2,28,2,train
20120217063154Uh,train,2012-02-17 06:31:54,Uh,b7e9efde1b87549efe5778fa641fd15eed971414c423310b93b1e5ac3649d1b4,b91b3c73cd089b8f35ff30d16d5e3e8c1443edf3de8b6bd7eec22ff528e8b66c,28,1,28,2,train
20120217181154Bh,train,2012-02-17 18:11:54,Bh,d32db05db80f95ade9d1eaad678007611e044386e7be96d8a523884bd433885a,0b76ce36db5214ffbbbc39883462a682ef2f0f9ba8bae4668a603d209d4444c2,28,2,28,2,train
20120218173614Mh,train,2012-02-18 17:36:14,Mh,e0c47bd5286f4795fc237ad0fb7ce7cd595ec8d3ea0c86687f536833603d9273,2bd23a52b16e28d47067cff309f91eb3aa4ef6556d3a4cc2105b0a4bf1c3270d,28,1,28,2,train
20120223063154Uh,train,2012-02-23 06:31:54,Uh,f4b7c8e17635ca4c8f342e959d810348c5954d707c96c635f77eb74f2c6838b1,2d7d6eb1d3be6322bb42cf0a098d69aabc59b39cf1baad33c54370002a436659,29,2,29,0,train
20120223152054Bh,train,2012-02-23 15:20:54,Bh,f9a24fb5222364d402b822bd76f0a4adfdee943ac0c3595885e88541f468f513,1c2a2528e12d0d8e220573146a7e234c7eef34548c830a21d654f442fd3baf85,29,1,29,0,train
20120225172914Mh,train,2012-02-25 17:29:14,Mh,ee49a1973cb355ad48b7705984ffc80bcb90b66905193647e575b2afc1c6b968,8126318d29dff1e18cefbe06f42b8f26e16b89a65346982071dd38c717a159c4,29,2,29,0,train
20120227161654Bh,train,2012-02-27 16:16:54,Bh,07516bd10b16cc8113f7a4b62c808164360bdfa836f67e06d319bf2ef73aae9f,901c452ae2b8f466d8e604f1a64d4abce53d18240f88d175a1647ec23472955b,29,1,29,0,train
20120306063154Uh,train,2012-03-06 06:31:54,Uh,b4b66ec088ad090bdaa9ee258b6325397e096057907d5d343af7463503e186ec,71fc27f91ff7b3961563968f9385ef1dd7c89e38056d20f771b9c49344fd0724,29,1,29,0,train
20120313063154Uh,train,2012-03-13 06:31:54,Uh,0feb714c9b1a2e250248222eb3c76541cc71578c4451172e465b3e2f39e93845,215c4e53453b547e45e78f7b1525fd17a92282b5b87822f55b8bb8f6cab496ba,29,1,29,0,train
20120318063154Uh,train,2012-03-18 06:31:54,Uh,d7ed2e452d5b09bb7ab01e5136d452d8d46366f17d283173829727702a357d27,6656ce2d51599fa3d49ef64b7d1f128ca1cce7faf485a0d5663926ed2a97595b,29,2,29,0,train
20120323144054Bh,train,2012-03-23 14:40:54,Bh,ecdb0de55e3c7a29312d862082c115d01fe8a53e70b29b53706b6a8854e1d35e,2822dcff3fa7a98150b4df3c5f51cf8830467281999636c189d1af4908cfb095,30,1,30,3,train
20120328164614Mh,train,2012-03-28 16:46:14,Mh,0c424054c2b79cdd696ab482539430d760228f6a89cec95ed98cd566b1d755e2,e662266bbc8612ac166fdec6bc2c93234c6e4e212522011056cc8742ffb72926,30,1,30,3,train
20120330063134Lh,train,2012-03-30 06:31:34,Lh,97c65ebe3a8ef1628d2ebbba3fac9ff2895a867bda2f61f2a204877dfc64dace,a5b7ec53b75f5a5a94dd12ff1b610e3290ad3644cc23911ddeb83f5c8db41f21,30,2,30,3,train
20120330063154Uh,train,2012-03-30 06:31:54,Uh,dcf16e00820639262025b552e2adb3855c267fc56b4e000f52b1baa5fe1a1af9,00ae3b9f4632b87f78a81ef3b8723a806ddffafa4bd1ca6293abe6ce3a536698,30,1,30,3,train
